UF,Municipio,PIB,Populacao
MG,Abadia dos Dourados,  176.774 ,  7.022 
MG,Abaeté,  541.239 ,  23.263 
MG,Abre Campo,  262.687 ,  13.434 
MG,Acaiaca,  64.907 ,  3.995 
MG,Açucena,  165.824 ,  9.270 
MG,Água Boa,  192.074 ,  13.319 
MG,Água Comprida,  229.831 ,  1.986 
MG,Aguanil,  94.615 ,  4.557 
MG,Águas Formosas,  287.599 ,  19.285 
MG,Águas Vermelhas,  236.649 ,  13.656 
MG,Aimorés,  638.010 ,  25.116 
MG,Aiuruoca,  128.549 ,  5.949 
MG,Alagoa,  47.717 ,  2.657 
MG,Albertina,  153.961 ,  3.015 
MG,Além Paraíba,  971.810 ,  35.438 
MG,Alfenas,  3.485.867 ,  80.973 
MG,Alfredo Vasconcelos,  150.663 ,  7.052 
MG,Almenara,  674.900 ,  42.380 
MG,Alpercata,  94.597 ,  7.448 
MG,Alpinópolis,  524.218 ,  20.059 
MG,Alterosa,  296.525 ,  14.566 
MG,Alto Caparaó,  97.111 ,  5.938 
MG,Alto Rio Doce,  180.132 ,  8.286 
MG,Alvarenga,  54.648 ,  10.723 
MG,Alvinópolis,  340.215 ,  3.783 
MG,Alvorada de Minas,  64.855 ,  15.135 
MG,Amparo do Serra,  55.926 ,  3.605 
MG,Andradas,  1.183.812 ,  4.643 
MG,Cachoeira de Pajeú,  125.598 ,  41.704 
MG,Andrelândia,  291.937 ,  12.189 
MG,Angelândia,  144.541 ,  8.594 
MG,Antônio Carlos,  241.904 ,  11.471 
MG,Antônio Dias,  894.624 ,  9.233 
MG,Antônio Prado de Minas,  28.571 ,  1.577 
MG,Araçaí,  59.998 ,  2.360 
MG,Aracitaba,  31.362 ,  2.056 
MG,Araçuaí,  520.019 ,  36.715 
MG,Araguari,  5.837.823 ,  118.361 
MG,Arantina,  88.542 ,  2.779 
MG,Araponga,  122.296 ,  8.467 
MG,Araporã,  1.294.616 ,  6.992 
MG,Arapuá,  172.816 ,  2.836 
MG,Araújos,  474.337 ,  9.523 
MG,Araxá,  8.950.863 ,  108.403 
MG,Arceburgo,  346.704 ,  10.990 
MG,Arcos,  2.346.520 ,  40.658 
MG,Areado,  309.348 ,  15.288 
MG,Argirita,  40.092 ,  2.681 
MG,Aricanduva,  67.084 ,  5.305 
MG,Arinos,  318.620 ,  17.850 
MG,Astolfo Dutra,  292.035 ,  14.358 
MG,Ataléia,  199.016 ,  12.496 
MG,Augusto de Lima,  89.041 ,  4.833 
MG,Baependi,  381.042 ,  19.249 
MG,Baldim,  201.277 ,  7.780 
MG,Bambuí,  780.013 ,  23.964 
MG,Bandeira,  59.116 ,  4.738 
MG,Bandeira do Sul,  86.583 ,  5.808 
MG,Barão de Cocais,  2.439.013 ,  33.232 
MG,Barão de Monte Alto,  63.115 ,  5.311 
MG,Barbacena,  3.523.135 ,  139.061 
MG,Barra Longa,  81.927 ,  4.905 
MG,Barroso,  608.921 ,  20.981 
MG,Bela Vista de Minas,  568.260 ,  10.269 
MG,Belmiro Braga,  61.571 ,  3.422 
MG,Belo Horizonte,  105.829.675 ,  2.530.701 
MG,Belo Oriente,  2.114.722 ,  27.277 
MG,Belo Vale,  279.906 ,  7.723 
MG,Berilo,  112.832 ,  11.813 
MG,Bertópolis,  53.792 ,  4.792 
MG,Berizal,  61.026 ,  4.609 
MG,Betim,  33.132.919 ,  450.024 
MG,Bias Fortes,  41.578 ,  3.282 
MG,Bicas,  277.609 ,  14.612 
MG,Biquinhas,  64.479 ,  2.482 
MG,Boa Esperança,  1.058.550 ,  40.308 
MG,Bocaina de Minas,  80.221 ,  5.088 
MG,Bocaiúva,  1.225.284 ,  50.521 
MG,Bom Despacho,  1.814.096 ,  51.436 
MG,Bom Jardim de Minas,  127.774 ,  6.444 
MG,Bom Jesus da Penha,  196.096 ,  4.270 
MG,Bom Jesus do Amparo,  160.334 ,  6.182 
MG,Bom Jesus do Galho,  171.128 ,  14.792 
MG,Bom Repouso,  160.232 ,  10.527 
MG,Bom Sucesso,  445.078 ,  17.612 
MG,Bonfim,  135.482 ,  6.852 
MG,Bonfinópolis de Minas,  458.719 ,  5.397 
MG,Bonito de Minas,  101.039 ,  11.502 
MG,Borda da Mata,  374.865 ,  19.809 
MG,Botelhos,  325.926 ,  14.927 
MG,Botumirim,  75.753 ,  6.259 
MG,Brasilândia de Minas,  415.095 ,  4.255 
MG,Brasília de Minas,  377.425 ,  16.950 
MG,Brás Pires,  50.032 ,  32.460 
MG,Braúnas,  213.084 ,  4.737 
MG,Brazópolis,  198.032 ,  14.364 
MG,Brumadinho,  4.624.938 ,  41.208 
MG,Bueno Brandão,  240.738 ,  10.982 
MG,Buenópolis,  180.725 ,  10.342 
MG,Bugre,  47.558 ,  3.984 
MG,Buritis,  1.164.015 ,  25.179 
MG,Buritizeiro,  736.130 ,  28.184 
MG,Cabeceira Grande,  477.388 ,  7.025 
MG,Cabo Verde,  290.843 ,  14.074 
MG,Cachoeira da Prata,  51.864 ,  3.580 
MG,Cachoeira de Minas,  537.009 ,  11.609 
MG,Cachoeira Dourada,  269.619 ,  9.470 
MG,Caetanópolis,  315.264 ,  2.720 
MG,Caeté,  1.074.938 ,  11.869 
MG,Caiana,  88.656 ,  45.364 
MG,Cajuri,  97.321 ,  5.584 
MG,Caldas,  337.663 ,  3.961 
MG,Camacho,  70.874 ,  14.600 
MG,Camanducaia,  990.373 ,  2.839 
MG,Cambuí,  1.865.719 ,  21.831 
MG,Cambuquira,  370.862 ,  30.068 
MG,Campanário,  53.464 ,  12.810 
MG,Campanha,  439.877 ,  3.739 
MG,Campestre,  486.392 ,  16.855 
MG,Campina Verde,  536.834 ,  21.052 
MG,Campo Azul,  40.662 ,  19.759 
MG,Campo Belo,  1.244.647 ,  3.830 
MG,Campo do Meio,  231.132 ,  54.338 
MG,Campo Florido,  710.907 ,  11.648 
MG,Campos Altos,  434.286 ,  8.383 
MG,Campos Gerais,  704.550 ,  15.661 
MG,Canaã,  77.460 ,  28.908 
MG,Canápolis,  678.012 ,  5.585 
MG,Cana Verde,  80.138 ,  4.533 
MG,Candeias,  371.149 ,  12.251 
MG,Cantagalo,  56.761 ,  14.890 
MG,Caparaó,  97.624 ,  4.575 
MG,Capela Nova,  62.476 ,  5.464 
MG,Capelinha,  888.063 ,  4.616 
MG,Capetinga,  207.280 ,  38.321 
MG,Capim Branco,  123.379 ,  6.860 
MG,Capinópolis,  666.601 ,  9.896 
MG,Capitão Andrade,  60.813 ,  16.294 
MG,Capitão Enéas,  501.518 ,  5.559 
MG,Capitólio,  328.449 ,  15.388 
MG,Caputira,  143.751 ,  8.693 
MG,Caraí,  210.428 ,  9.318 
MG,Caranaíba,  41.483 ,  23.872 
MG,Carandaí,  751.899 ,  3.150 
MG,Carangola,  639.260 ,  25.831 
MG,Caratinga,  2.283.288 ,  33.022 
MG,Carbonita,  220.682 ,  93.124 
MG,Careaçu,  174.197 ,  9.423 
MG,Carlos Chagas,  474.792 ,  6.826 
MG,Carmésia,  39.788 ,  18.516 
MG,Carmo da Cachoeira,  321.643 ,  2.660 
MG,Carmo da Mata,  265.730 ,  12.193 
MG,Carmo de Minas,  290.443 ,  11.546 
MG,Carmo do Cajuru,  629.040 ,  15.031 
MG,Carmo do Paranaíba,  1.060.224 ,  22.900 
MG,Carmo do Rio Claro,  694.617 ,  30.339 
MG,Carmópolis de Minas,  461.604 ,  21.310 
MG,Carneirinho,  407.481 ,  19.756 
MG,Carrancas,  177.651 ,  10.103 
MG,Carvalhópolis,  71.387 ,  4.052 
MG,Carvalhos,  80.638 ,  3.614 
MG,Casa Grande,  69.241 ,  4.445 
MG,Cascalho Rico,  80.004 ,  2.251 
MG,Cássia,  436.435 ,  3.108 
MG,Conceição da Barra de Minas,  68.733 ,  17.741 
MG,Cataguases,  1.651.609 ,  75.942 
MG,Catas Altas,  5.032.358 ,  5.465 
MG,Catas Altas da Noruega,  40.793 ,  3.665 
MG,Catuji,  83.289 ,  6.206 
MG,Catuti,  56.844 ,  4.944 
MG,Caxambu,  371.035 ,  21.566 
MG,Cedro do Abaeté,  22.406 ,  1.150 
MG,Central de Minas,  87.071 ,  7.059 
MG,Centralina,  351.070 ,  10.343 
MG,Chácara,  47.151 ,  3.216 
MG,Chalé,  114.181 ,  5.695 
MG,Chapada do Norte,  111.127 ,  15.334 
MG,Chapada Gaúcha,  403.118 ,  14.217 
MG,Chiador,  37.253 ,  2.657 
MG,Cipotânea,  73.306 ,  6.811 
MG,Claraval,  182.017 ,  4.873 
MG,Claro dos Poções,  83.730 ,  7.478 
MG,Cláudio,  1.118.680 ,  29.093 
MG,Coimbra,  139.845 ,  7.631 
MG,Coluna,  121.196 ,  8.810 
MG,Comendador Gomes,  154.809 ,  3.128 
MG,Comercinho,  68.129 ,  6.624 
MG,Conceição da Aparecida,  274.177 ,  10.351 
MG,Conceição das Pedras,  61.043 ,  3.939 
MG,Conceição das Alagoas,  1.318.367 ,  28.782 
MG,Conceição de Ipanema,  81.016 ,  2.814 
MG,Conceição do Mato Dentro,  9.051.036 ,  4.581 
MG,Conceição do Pará,  494.122 ,  17.438 
MG,Conceição do Rio Verde,  343.578 ,  5.558 
MG,Conceição dos Ouros,  225.127 ,  13.729 
MG,Cônego Marinho,  63.480 ,  11.852 
MG,Confins,  485.732 ,  7.730 
MG,Congonhal,  220.411 ,  6.867 
MG,Congonhas,  4.115.644 ,  12.209 
MG,Congonhas do Norte,  49.300 ,  55.836 
MG,Conquista,  490.137 ,  5.047 
MG,Conselheiro Lafaiete,  3.118.549 ,  6.997 
MG,Conselheiro Pena,  383.878 ,  130.584 
MG,Consolação,  31.451 ,  22.975 
MG,Contagem,  36.479.765 ,  1.786 
MG,Coqueiral,  234.166 ,  673.849 
MG,Coração de Jesus,  272.891 ,  9.099 
MG,Cordisburgo,  146.187 ,  26.620 
MG,Cordislândia,  113.770 ,  8.903 
MG,Corinto,  612.295 ,  3.546 
MG,Coroaci,  125.593 ,  23.607 
MG,Coromandel,  1.535.205 ,  9.897 
MG,Coronel Fabriciano,  1.996.019 ,  27.958 
MG,Coronel Murta,  119.865 ,  110.709 
MG,Coronel Pacheco,  60.102 ,  9.209 
MG,Coronel Xavier Chaves,  90.916 ,  3.095 
MG,Córrego Danta,  165.603 ,  3.448 
MG,Córrego do Bom Jesus,  45.638 ,  3.168 
MG,Córrego Fundo,  320.637 ,  3.685 
MG,Córrego Novo,  38.526 ,  6.425 
MG,Couto de Magalhães de Minas,  63.270 ,  2.688 
